ID	§	Область	Задача	Разм.	Состояние	Блокер	Источник	Заметка
UI-01	1.1	UI	MSDF-шрифты под существующим UI	L	открыто		заявка	Разблокируют субтитры и раскладку по реальной ширине строки
UI-02	1.2	UI	Правый край HUD: блок righthud прижат к x=640	M	открыто	ретейл-ассеты	заявка	Сдвиг на уровне ui_shared.cpp, не в cgame
UI-03	1.2	UI	Множитель масштаба UI 0.75-2.0	S	открыто	UI-01	заявка	С SDF текст остаётся резким на любом множителе
UI-04	1.3	UI	Слой «настройка как дескриптор», из него генерируется меню	L	открыто		заявка	Половина ванильного меню на Vulkan мертва
UI-05	1.3.1	UI	cg_fov в меню + подпись фактического угла для аспекта	S	открыто	UI-04	заявка	Слайдер, показывающий 80 при 132 на экране, врёт
UI-06	1.3.1	UI	cg_fovViewModel — отдельный FOV для оружия в руках	S	открыто		JAEnhanced §8.1	Брать из somaz fix_cg_fovviewmodel, там чинится связь с cg_fovAspectAdjust
UI-07	1.3.1	UI	g_saberRealisticCombat: одно имя + три уровня словами	S	открыто		заявка	Имя уже сведено (§6); осталось меню и строки
UI-08	1.4	UI	Субтитры: свой слой, перенос по словам, имя говорящего	M	открыто	UI-01	заявка	
UI-09	1	UI	Экран настроек на RmlUi как прототип	L	открыто	UI-01	решение	
UI-10	1	UI	Остальные экраны на RmlUi по одному	L	открыто	UI-09	решение	
CIN-01	2.1	Кадр	Снять горизонтальные полосы Raven в катсценах	S	открыто		решение	cg_camera.cpp:1328 — две строки и cvar
CIN-02	2.1	Кадр	Боковые полосы: сузить cg.refdef до 16:9	M	открыто		решение	Меняет вьюпорт и FOV, а не рисует поверх
CIN-03	2.1	Кадр	Проверить widescreen-FOV в режиме in_camera	S	открыто		решение	FOV приходит из ICARUS-скрипта, вероятная дырка
CIN-04	2.2	Кадр	ROQ: вписывание в 16:9 + cg_cinematicFit	S	открыто		решение	
CIN-05	2.2	Кадр	Апскейл ROQ Catmull-Rom вместо билинейки	S	открыто		заявка	Решается просмотром, а не чтением кода
CIN-06	49	Кадр	Развязать проигрыватель от формата (интерфейс «источник кадров»)	M	открыто		решение	Делает cl_cin.cpp проверяемым на стенде
CIN-07	49	Кадр	Второй кодек: VP9/AV1 в WebM	L	открыто	CIN-06	решение	Bink нельзя: GPLv2 не даёт линковать закрытую библиотеку
ANI-01	3	Анимация	cg.frameInterpolation как коэффициент сглаживания -> 1-exp(-dt/tau)	M	открыто	железо	гипотеза	Подозреваемый №2, совпадает с наблюдением
ANI-02	3	Анимация	SmoothLow: mSmoothFactor без учёта dt	M	открыто	железо	гипотеза	Компенсированная версия закомментирована внутри Eval
ANI-03	3	Анимация	ROFF пишется TR_INTERPOLATE при обновлении раз в 100 мс	S	открыто	железо	гипотеза	Признак: тот же ROFF на пропе идёт гладко
ANI-04	3	Анимация	Вернуть r_ghoul2timebase	S	открыто		JAEnhanced §8.1	Последняя из пяти ручек Ghoul2
LIM-01	4.1	Свет	MAX_DLIGHTS вместо литерала 32 (tr_world.cpp:1519)	S	открыто		находка 12	МИНА под §4: константу поднимут, зажим останется
LIM-02	4.1	Свет	Вернуть отбраковку dlight по узлам дерева	M	снято		находка 13	ОШИБКА РАЗБОРА: отбраковка есть, R_RecursiveLightNode tr_world.cpp:524
LIM-06	4.1	Свет	r_dlightMode: диапазон 1..2 вместо 0..2 плюс описание	S	сделано		находка 13	Ноль называл vq3-путь, которого в дереве нет вовсе
LIM-03	4	Лимиты	Измерить, что реально упирается на настоящих картах	M	открыто	ретейл	решение	Счётчики есть; догадки бесполезны
LIM-04	4	Лимиты	Расширить ключ сортировки (QSORT_*) до подъёма MAX_SHADERS/GENTITIES	L	открыто	LIM-03	решение	32 бита и уже заняты почти целиком
LIM-05	4	Свет	Кластеризованный свет	L	открыто	LIM-01	решение	Настоящий подъём — не константа
FIX-01	5	Дефекты	cg_camera.cpp:1889 — чтение по отрицательному индексу	S	открыто		найдено попутно	Серверный двойник в g_roff.cpp проверяет корректно
FIX-02	5	Дефекты	g_roff.cpp:566 — mLerp целочисленным делением, -4% скорости	S	открыто		найдено попутно	
FIX-03	5	Дефекты	G2API_SetTime: откат базы времени на sv.time при расхождении >200 мс	M	открыто		найдено попутно	У JAEnhanced тот же баг, не починен
FIX-04	5	CI	PBR-ветка структурно не покрыта headless (maxBoundDescriptorSets 8 < 11)	M	открыто		найдено попутно	Либо поднять лимит в тесте, либо явная отметка в отчёте
FIX-05	5	Графика	r_neatsky: снять мип и picmip со скайбокса	S	открыто		находка 2	Возможно закрывает шов на небе в JK2 правкой в 4 строки
FIX-06	5	Графика	r_vbo/r_fbo как cvar-ы вместо безусловного qtrue	S	открыто		находка 5	Потеря рычага: «выключи VBO и повтори» делит поиск пополам
FIX-07	5	Графика	r_nocull: у нас ==1, у Quake3e любое ненулевое	S	открыто		находки 8,14	Сначала выяснить, чем в JK занято r_nocull 2
FIX-08	6	Конфиги	r_ext_compressed_textures и r_offsetFactor: свести к общему написанию	S	открыто		находка 7	Плюс прочитать старое имя один раз при старте
FIX-09	10	Инструменты	r_printShaders	S	открыто		находка 6	Выгрузка разобранного списка материалов
FIX-10	8.1	Инструменты	r_debugStyle — подсветка одного стиля лайтмапа	S	открыто		JAEnhanced / находка 34	Стили в JKA живые, посмотреть на один нечем
FIX-11	8.1	Инструменты	Внешние сущности карты mapentities/<map>.eent	S	открыто		JAEnhanced / находка 33	Инструмент проверки: свой триггер на ретейл-карту без пересборки BSP
FIX-12	10	Материалы	Условный разбор .shader (if/elif/else)	M	открыто		находка 4	Моддинг, не картинка. Полезно, несрочно
FIX-13	-	Долг	Вернуть JKX_VK_TRACE в OFF (CMakeLists.txt, engine.yml)	S	открыто	краш vid_restart	долг	Висит с разбора вылета
NPC-01	7	Геймплей	«Покой» для улёгшихся тел: снять физику и ICARUS	M	открыто		решение	Сто трупов = сто ClientThink в кадр
NPC-02	7	Геймплей	Померить накопление трупов за прохождение	S	открыто	ретейл	решение	
NPC-03	7	Геймплей	Решить про GENTITYNUM_BITS или потолок с вытеснением	L	открыто	NPC-02	решение	Смена формата сейва
AST-01	10.3	Ассеты	Возить свои .menu / mainMenu	M	открыто	UI-09	решение	Отложено сознательно: переезжает на RmlUi
AST-02	10.3	Ассеты	Умолчания weapons.dat / items.dat	M	открыто	ретейл	решение	Нужна ретейловая установка под рукой
AST-03	11	Оболочка	Лаунчер: одна точка входа на две игры	L	открыто		заявка	Или отдельный бинарь, или движок сам показывает выбор
G2-01	20	Ghoul2	AddSkinGore: пять расхождений с SP, разобраны по строкам	M	открыто	ретейл-ассеты	аудит	Геймкод уже просит то, чего рендерер не умеет
